System	SubSystem	Emulator	Name	Year	ROM	Players	Joystick	Ways	Buttons	LightGun	Stick	TrackBall	Other Input	Vertical	Manufacturer	Genre	SubGenre	Sub2Genre	CameraGenre	GraphicsGenre	FWA MAX 2 	FUA
arcade	none		Karnov	1987	karnov	2	single	8	3	no	no	no	none	no	Data East	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		Ketsui: Kizuna Jigoku Tachi	2002	ket	2	single	8	3	no	no	no	none	yes	Cave	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		KiKi KaiKai	1986	kikikai	2	single	8	2	no	no	no	none	yes	Taito	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none		Kick & Run	1986	kicknrun	4	single	8	2	no	no	no	none	no	Taito	Sports	Soccer	other	unknown	unknown	yes	yes
arcade	none		Kicker	1985	kicker	2	single	4	2	no	no	no	none	yes	Konami	Platform	Fighter	other	unknown	unknown	yes	yes
arcade	none		Killer Instinct	1994	kinst	2	single	8	6	no	no	no	none	no	Midway	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Killer Instinct 2	1996	kinst2	2	single	8	6	no	no	no	none	no	Midway	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		King of Boxer	1985	kingofb	2	single	8	3	no	no	no	none	yes	Other	Sports	Boxing	Versus	unknown	unknown	yes	yes
arcade	none		King of Dragons, The	1991	kod	3	single	8	2	no	no	no	none	no	Capcom	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	neogeo		King of Fighters '95, The	1995	kof95	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo		King of Fighters '98, The: The Slugfest	1998	kof98	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo		King of Fighters '99, The: Millennium Battle	1999	kof99	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo		King of Fighters 2000, The	2000	kof2000	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo		King of Fighters 2002, The	2002	kof2002	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo		King of the Monsters	1991	kotm	2	single	8	4	no	no	no	none	no	SNK	Fighter	Beat Em Up	other	unknown	unknown	yes	yes
arcade	neogeo		King of the Monsters 2: The Next Thing	1992	kotm2	2	single	8	4	no	no	no	none	no	SNK	Fighter	Beat Em Up	other	unknown	unknown	yes	yes
arcade	none		Kingdom Grandprix	1994	kingdmgp	2	single	8	3	no	no	no	none	yes	Eighting	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	neogeo		Kizuna Encounter: Super Tag Battle	1996	kizuna	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Klax	1989	klax	2	single	4	1	no	no	no	none	no	Atari	Puzzle	Drop	other	unknown	unknown	yes	yes
arcade	none		Knights of Valour	1999	kov	4	single	8	4	no	no	no	none	no	IGS	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none		Knights of Valour 2	2000	kov2	4	single	8	4	no	no	no	none	no	IGS	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none		Knights of the Round	1991	knights	3	single	8	2	no	no	no	none	no	Capcom	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none		Knuckle Joe	1985	kncljoe	2	single	8	2	no	no	no	none	no	Seibu Kaihatsu	Platform	Fighter	other	unknown	unknown	yes	yes
arcade	none		Kung-Fu Master	1984	kungfum	2	single	8	2	no	no	no	none	no	Irem	Fighter	Beat Em Up	other	unknown	2D	yes	yes
arcade	none		Kuri Kinton	1988	kurikint	2	single	8	2	no	no	no	none	no	Taito	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Lady Bug	1981	ladybug	2	single	4	0	no	no	no	none	yes	Universal	Maze	Collect	other	unknown	unknown	yes	yes
arcade	none		Laser Ghost	1990	lghost	3	none	none	2	yes	no	no	none	no	SEGA	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	neogeo		Last Blade 2, The	1998	lastbld2	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Last Duel	1988	lastduel	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Driving	other	Vertical	unknown	yes	yes
arcade	neogeo		Last Resort	1992	lresort	2	single	8	4	no	no	no	none	no	SNK	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	neogeo		League Bowling	1990	lbowling	2	single	8	4	no	no	no	none	no	SNK	Sports	Bowling	other	unknown	unknown	yes	yes
arcade	none		Legend of Hero Tonma	1989	loht	2	single	8	4	no	no	no	none	no	Irem	Fighter	Beat Em Up	other	unknown	2D	yes	yes
arcade	none		Legend of Kage, The	1984	lkage	2	single	8	2	no	no	no	none	no	Taito	Fighter	Beat Em Up	other	unknown	2D	yes	yes
arcade	none		Legendary Wings	1986	lwings	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Lemmings	1991	lemmings	2	none	none	2	no	no	yes	none	no	Data East	Puzzle	other	other	unknown	unknown	yes	yes
arcade	none		Lethal Enforcers	1992	lethalen	2	none	none	1	yes	no	no	none	no	Konami	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none		Light Bringer	1993	lightbr	4	single	8	4	no	no	no	dial	no	Taito	Maze	Fighter	other	unknown	unknown	yes	yes
arcade	none		Lightning Fighters	1990	lgtnfght	2	single	8	3	no	no	no	none	yes	Konami	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Lightning Swords	1991	ltswords	2	single	8	4	no	no	no	none	no	Irem	Fighter	Beat Em Up	other	unknown	2D	yes	yes
arcade	none		Line of Fire	1989	loffire	2	none	none	2	yes	no	no	none	no	SEGA	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none		Liquid Kids	1990	liquidk	2	single	8	2	no	no	no	none	no	Taito	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Lode Runner	1984	ldrun	2	single	8	2	no	no	no	none	no	Irem	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none		Lode Runner: The Dig Fight	2000	loderndf	4	single	8	3	no	no	no	none	no	Psikyo	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none		Lost Castle In Darkmist, The	1986	darkmist	2	single	8	2	no	no	no	none	yes	Seibu Kaihatsu	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Lucky & Wild	1992	luckywld	2	none	none	1	yes	no	no	pedal/paddle	no	Namco	Shooter	Gunner	Driving	1st Person	unknown	yes	yes
arcade	none		Lunar Lander	1979	llander	1	none	none	3	no	no	no	pedal	no	Atari	Driving	Landing	other	unknown	unknown	yes	yes
arcade	none		Lunar Rescue	1979	lrescue	2	single	2	1	no	no	no	none	yes	Taito	Maze	Shooter	other	unknown	unknown	yes	yes
arcade	none		M.I.A.: Missing in Action	1989	mia	2	single	8	3	no	no	no	none	no	Konami	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Macross Plus	1996	macrossp	2	single	8	4	no	no	no	none	yes	Banpresto	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Mad Gear	1989	madgear	2	single	8	3	no	no	no	none	yes	Capcom	Driving	Race	other	unknown	unknown	yes	yes
arcade	none		Mad Planets	1983	mplanets	1	single	8	2	no	no	no	dial	yes	Gottlieb	Shooter	Field	other	unknown	unknown	yes	yes
arcade	none		Mag Max	1985	magmax	2	single	8	1	no	no	no	none	no	Nichibutsu	Shooter	Driving	other	Horizontal	unknown	yes	yes
arcade	none		Magic Sword: Heroic Fantasy	1990	msword	2	single	8	3	no	no	no	none	no	Capcom	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	neogeo		Magical Drop 3	1997	magdrop3	2	single	8	4	no	no	no	none	no	Data East	Puzzle	Toss	other	unknown	unknown	yes	yes
arcade	neogeo		Magician Lord	1990	maglord	2	single	8	4	no	no	no	none	no	Alpha Denshi	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		Main Event, The	1988	mainevt	4	single	8	2	no	no	no	none	no	Konami	Sports	Wrestling	Versus	unknown	unknown	yes	yes
arcade	none		Major Havoc	1983	mhavoc	2	none	none	2	no	no	no	dial	no	Atari	Shooter	other	other	unknown	unknown	yes	yes
arcade	none		Major Title 2	1992	majtitl2	4	single	8	2	no	no	no	none	no	Irem	Sports	Golf	other	unknown	unknown	yes	yes
arcade	none		Mappy	1983	mappy	2	single	2	1	no	no	no	none	yes	Namco	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none		Marble Madness	1984	marble	2	none	none	0	no	no	yes	none	no	Atari	Maze	Ball Guide	other	unknown	unknown	yes	yes
arcade	none		Marble Madness 2	1991	marblmd2	3	none	none	0	no	no	yes	none	no	Atari	other	Action	unknown	unknown	unknown	yes	yes
arcade	none		Mario Bros.	1983	mario	2	single	2	1	no	no	no	none	no	Nintendo	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	triforce		Mario Kart Arcade GP	2005	mariokartarcadegp	1	none	none	2	no	no	no	pedal/paddle	no	Namco	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	triforce		Mario Kart Arcade GP 2	2007	mariokartarcadegp2	1	none	none	2	no	no	no	pedal/paddle	no	Namco	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none		Mars Matrix: Hyper Solid Shooting	2000	mmatrix	2	single	8	1	no	no	no	none	no	Capcom	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Martial Masters	2001	martmast	4	single	8	4	no	no	no	none	no	IGS	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Marvel Super Heroes	1995	msh	2	single	8	6	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Marvel Super Heroes Vs. Street Fighter	1997	mshvsf	2	single	8	6	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Marvel Vs. Capcom: Clash of Super Heroes	1998	mvsc	2	single	8	6	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo		Matrimelee	2003	matrim	2	single	8	4	no	no	no	none	no	Atlus	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Mazinger Z	1994	mazinger	2	single	8	3	no	no	no	none	yes	Banpresto	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Mechanized Attack	1989	mechatt	2	none	none	2	yes	no	no	none	no	SNK	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none		Mega Man 2: The Power Fighters	1996	megaman2	2	single	8	3	no	no	no	none	no	Capcom	Fighter	Versus Co-op	other	unknown	unknown	yes	yes
arcade	none		Mega Twins	1990	mtwins	2	single	8	3	no	no	no	none	no	Capcom	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Meikyu Jima	1988	kikcubic	2	single	4	2	no	no	no	none	no	Irem	Puzzle	Maze	other	unknown	unknown	yes	yes
arcade	none		Mercs	1990	mercs	3	single	8	2	no	no	no	none	yes	Capcom	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	neogeo		Metal Slug 2 Turbo	2015	mslug2t	2	single	8	4	no	no	no	none	no	Other	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	neogeo		Metal Slug 3	2000	mslug3	2	single	8	4	no	no	no	none	no	SNK	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	neogeo		Metal Slug 4	2002	mslug4	2	single	8	4	no	no	no	none	no	SNK	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	neogeo		Metal Slug 5	2003	mslug5	2	single	8	4	no	no	no	none	no	SNK	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	neogeo		Metal Slug X: Super Vehicle-001	1999	mslugx	2	single	8	4	no	no	no	none	no	SNK	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	neogeo		Metal Slug: Super Vehicle-001	1996	mslug	2	single	8	4	no	no	no	none	no	Nazca	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		Metamorphic Force	1993	metamrph	4	single	8	3	no	no	no	none	no	Konami	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none		Metro-Cross	1985	metrocrs	2	single	8	1	no	no	no	none	no	Namco	Platform	Run, Jump &	other	Scrolling	unknown	yes	yes
arcade	none		Michael Jackson's Moonwalker	1990	mwalk	3	single	8	3	no	no	no	none	no	SEGA	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Midnight Resistance	1989	midres	2	single	8	2	no	no	no	positional	no	Data East	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		Mighty! Pang	2000	mpang	2	single	8	1	no	no	no	none	no	Mitchell	Shooter	other	Puzzle	unknown	unknown	yes	yes
arcade	none		Mikie	1984	mikie	2	single	4	2	no	no	no	none	yes	Konami	Maze	Fighter	other	unknown	unknown	yes	yes
arcade	none		Mille Miglia 2: Great 1000 Miles Rally	1995	gtmr2	2	single	8	8	no	no	no	paddle/dial	no	Kaneko	Driving	Race	other	unknown	unknown	yes	yes
arcade	none		Millipede	1982	milliped	2	single	8	1	no	no	yes	none	yes	Atari	Shooter	Gallery	other	unknown	unknown	yes	yes
arcade	none		Missile Command	1980	missile	2	none	none	3	no	no	yes	none	no	Atari	Shooter	Command	other	unknown	unknown	yes	yes
arcade	none		Monster Bash	1982	monsterb	2	single	4	1	no	no	no	none	yes	SEGA	Platform	Shooter	other	unknown	unknown	yes	yes
arcade	none		Moon Cresta	1980	mooncrst	2	single	2	1	no	no	no	none	yes	Nichibutsu	Shooter	Gallery	other	unknown	unknown	yes	yes
