System	Name	Year	ROM	Players	Joystick	Buttons	LightGun	TrackBall	Other Input	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites	Other CoinOps
arcade	Cliffhanger, The: Edward Randy	1990	edrandy	2	joy8way	2	No	No	none	No	Data East	No	No	Yes
arcade	Cobra-Command	1988	cobracom	2	joy8way	2	No	No	none	No	Data East / SEGA	No	Yes	Yes
arcade	Columns	1990	columns	2	joy8way	1	No	No	none	No	SEGA	No	No	Yes
arcade	Combat School	1988	combatsc	2	joy8way	2	No	No	none	No	Konami	No	No	Yes
arcade	Combatribes, The	1990	ctribe	3	joy8way	3	No	No	none	No	Technos Japan / Technos Japan Corp.	No	No	Yes
arcade	Commando	1985	commandou	2	joy8way	2	No	No	none	Yes	Capcom / Data East	Yes	Yes	Yes
arcade	Congo Bongo	1983	congo	2	joy8way	1	No	No	none	Yes	SEGA	Yes	Yes	Yes
arcade	Continental Circus	1987	contcirc	1	none	3	No	No	pedal/paddle/dial	No	Taito	No	No	Yes
arcade	Contra	1987	contra	2	joy8way	2	No	No	none	Yes	Konami	Yes	Yes	Yes
arcade	Cool Riders	1995	coolridr	2	none	4	No	No	pedal/paddle	No	SEGA	No	No	Yes
arcade	Cop 01	1985	cop01	2	joy8way	2	No	No	none	No	Nichibutsu	No	Yes	Yes
arcade	Cosmic Alien	1979	cosmica	2	joy2way	1	No	No	none	Yes	Universal	No	Yes	Yes
arcade	Cosmic Cop	1991	cosmccop	2	joy8way	4	No	No	none	No	Irem	No	No	Yes
arcade	Cosmo Gang the Video	1991	cosmogng	2	joy8way	3	No	No	none	Yes	Namco	No	No	Yes
arcade	Cosmo Police Galivan	1985	galivan	2	joy8way	3	No	No	none	Yes	Nichibutsu	No	Yes	Yes
arcade	Cotton	1991	cotton	2	joy8way	3	No	No	none	No	Success / SEGA	No	No	Yes
arcade	Cotton 2	1997	cotton2	4	joy8way	4	No	No	none	No	Success	Yes	Yes	Yes
arcade	Cotton Boomerang	1998	cottonbm	4	joy8way	4	No	No	none	No	Success	No	No	Yes
arcade	Crack Down	1989	crkdown	2	joy8way	3	No	No	none	No	SEGA	No	Yes	Yes
arcade	Crazy Climber	1980	cclimber	2	doublejoy8way	0	No	No	none	No	Nichibutsu	Yes	Yes	Yes
arcade	Crazy Climber 2	1988	cclimbr2	2	doublejoy8way	0	No	No	none	No	Nichibutsu	No	No	Yes
arcade	Crazy Taxi	1999	crzytaxi	1	none	2	No	No	pedal/paddle	No	SEGA	No	Yes	Yes
arcade	Crime City	1989	crimec	2	joy8way	2	No	No	none	No	Taito	No	No	Yes
arcade	Crime Fighters	1989	crimfght	2	joy8way	3	No	No	none	No	Konami	No	No	Yes
arcade	Crossbow	1983	crossbow	1	none	1	Yes	No	none	No	Exidy	No	No	Yes
arcade	Crossed Swords	1991	crsword	2	joy8way	4	No	No	none	No	Alpha Denshi Co.	No	Yes	Yes
arcade	Crossed Swords 2	1996	crswd2bl	2	joy8way	4	No	No	none	No	bootleg / Razoola	No	No	Yes
arcade	Cruis'n USA	1994	crusnusa	1	none	8	No	No	pedal/paddle	No	Midway	No	Yes	Yes
arcade	Cruis'n World	1996	crusnwld	1	none	8	No	No	pedal/paddle	No	Midway	No	No	Yes
arcade	Crush Roller	1981	crush	2	joy4way	0	No	No	none	Yes	Alpha Denshi Co. / Kural Samno Electric, Ltd.	No	No	Yes
arcade	Crystal Castles	1983	ccastles	2	none	3	No	Yes	none	No	Atari	Yes	Yes	Yes
arcade	Crystal of Kings, The	2001	crysking	4	joy8way	4	No	No	none	No	BrezzaSoft	No	No	Yes
arcade	Cute Fighter	1998	cutefght	2	joy8way	3	No	No	none	No	SemiCom	No	No	Yes
arcade	Cybattler	1993	cybattlr	2	joy8way	2	No	No	none	Yes	Jaleco	No	No	Yes
arcade	Cyber Commando	1994	cybrcomm	2	none	3	No	No	stick	No	Namco	No	No	Yes
arcade	Cyber Cycles	1995	cybrcycc	1	none	0	No	No	pedal/paddle	No	Namco	No	No	Yes
arcade	Cyber Sled	1993	cybsled	2	none	3	No	No	stick	No	Namco	No	No	Yes
arcade	Cyber-Lip	1990	cyberlip	2	joy8way	4	No	No	none	No	SNK	Yes	Yes	Yes
arcade	Cyberball 2072	1989	cyberbal2p	2	joy8way	1	No	No	none	No	Atari Games	No	No	Yes
