System	Name	Year	Players	Input	Buttons	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites
arcade	Crystal Castles	1983	2	trackball	3	No	Atari	Yes	Yes
arcade	Cyber-Lip	1990	2	joy8way	4	No	SNK	Yes	Yes
arcade	Cyberbots: Fullmetal Madness	1995	2	joy8way	4	No	Capcom	No	Yes
arcade	Cyvern: The Dragon Weapons	1998	2	joy8way	2	Yes	Kaneko	Yes	Yes
arcade	DJ Boy	1989	2	joy8way	3	No	Kaneko	Yes	Yes
arcade	Daioh	1993	2	joy8way	6	Yes	Athena	No	Yes
arcade	Darius II (dual screen)	1989	2	joy8way	2	No	Taito	No	Yes
arcade	Dark Seal	1990	2	joy8way	2	No	Data East	Yes	Yes
arcade	Darkstalkers: The Night Warriors	1994	2	joy8way	6	No	Capcom	Yes	Yes
arcade	Daytona USA	1994	1	pedal / paddle	9	No	SEGA	No	Yes
arcade	Daytona USA 2 Power Edition	1998	1	pedal / paddle	8	No	SEGA	No	Yes
arcade	Dead Angle	1988	2	joy8way	2	No	Seibu Kaihatsu	Yes	Yes
arcade	Dead Connection	1992	4	joy8way	2	No	Taito	No	Yes
arcade	Deathsmiles MegaBlack Label	2008	2	joy8way	4	No	Cave / AMI license	Yes	Yes
arcade	Defender	1980	1	joyvertical2way	5	No	Williams	Yes	Yes
arcade	Demon Front	2002	4	joy8way	4	No	IGS	Yes	Yes
arcade	Desert Assault	1991	4	joy8way	2	No	Data East	No	Yes
arcade	Desert Breaker (World)	1992	3	joy8way	3	Yes	SEGA	Yes	Yes
arcade	Devastators	1988	2	joy8way	2	Yes	Konami	Yes	Yes
arcade	Devil World	1987	2	joy8way	3	No	Konami	No	Yes
arcade	Dig Dug	1982	2	joy4way	1	Yes	Namco	Yes	Yes
arcade	Dimahoo	2000	2	joy8way	3	Yes	Eighting / Raizing	Yes	Yes
arcade	DoDonPachi	1997	2	joy8way	3	Yes	Cave / Atlus license	Yes	Yes
arcade	DoDonPachi 2: Bee Storm	2001	4	joy8way	4	Yes	IGS	No	Yes
arcade	DoDonPachi Dai-Fukkatsu Ver 1.5	2008	2	joy8way	4	Yes	Cave / AMI license	Yes	Yes
arcade	DoDonPachi Dai-Ou-Jou	2002	2	joy8way	3	Yes	Cave / AMI license	Yes	Yes
arcade	Dolphin Blue	2003	2	joy8way	6	No	Sammy	No	Yes
arcade	DonPachi	1995	2	joy8way	3	Yes	Cave / Atlus license	No	Yes
arcade	Donkey Kong	1981	2	joy4way	1	Yes	Nintendo	Yes	Yes
arcade	Donkey Kong 2: Jumpman Returns	2006	2	joy4way	1	Yes	hack / Braze Technologies	No	Yes
arcade	Donkey Kong 2: Jumpman Returns	2006	2	joy4way	1	Yes	hack / Braze Technologies	No	Yes
arcade	Donkey Kong 3	1983	2	joy4way	1	Yes	Nintendo	Yes	Yes
arcade	Donkey Kong Junior	1982	2	joy4way	1	Yes	Nintendo	Yes	Yes
arcade	Double Dragon	1987	2	joy8way	3	No	Technos Japan / Technos Japan Corp.	Yes	Yes
arcade	Double Dragon 2: The Revenge	1988	2	joy8way	3	No	Technos Japan / Technos Japan Corp.	Yes	Yes
arcade	Dragon Blaze	2000	2	joy8way	3	Yes	Psikyo	Yes	Yes
arcade	Dragon Breed	1989	2	joy8way	4	No	Irem	Yes	Yes
arcade	Dragon's Lair	1983	1	joy8way	1	No	Cinematronics	No	Yes
arcade	Dungeons & Dragons: Shadow over Mystara	1996	4	joy8way	4	No	Capcom	Yes	Yes
arcade	Dungeons & Dragons: Tower of Doom	1993	4	joy8way	4	No	Capcom	Yes	Yes
arcade	Dyna Gear	1993	2	joy8way	3	No	Sammy	No	Yes
arcade	Dynamite Duke	1989	2	joy8way	3	No	Seibu Kaihatsu	Yes	Yes
arcade	Dynasty Wars	1989	2	joy8way	3	No	Capcom	Yes	Yes
arcade	E-Swat: Cyber Police (set 4, World)	1989	2	joy8way	3	No	SEGA	Yes	Yes
arcade	ESP Ra.De.	1998	2	joy8way	3	Yes	Cave / Atlus license	Yes	Yes
arcade	Eco Fighters	1993	2	joy8way / dial	3	No	Capcom	Yes	Yes
arcade	Elevator Action	1983	2	joy8way	2	No	Taito	Yes	Yes
arcade	Elevator Action Returns	1994	4	joy8way / dial	4	No	Taito	Yes	Yes
arcade	Empire City: 1931	1986	2	joy8way	2	No	Seibu Kaihatsu	Yes	Yes
arcade	Empire Strikes Back, The	1985	1	stick	4	No	Atari Games	Yes	Yes
arcade	Enduro Racer	1986	1	pedal / stick	0	No	SEGA	Yes	Yes
arcade	Escape Kids	1991	4	joy8way	2	No	Konami	No	Yes
arcade	Espgaluda	2003	2	joy8way	4	Yes	Cave / AMI license	Yes	Yes
arcade	Espgaluda 2	2005	2	joy8way	4	Yes	Cave / AMI license	Yes	Yes
arcade	Exciting Hour	1985	2	joy8way	2	Yes	Technos Japan / Taito	Yes	Yes
arcade	Exed Exes	1985	2	joy8way	2	Yes	Capcom	Yes	Yes
arcade	Exerion	1983	2	joy8way	2	Yes	Jaleco	Yes	Yes
arcade	Express Raider	1986	2	joy8way	2	No	Data East	Yes	Yes
arcade	Fantastic Journey	1994	4	joy8way	3	No	Konami	No	Yes
